doi	title	publisher	publicationYear
10.15493/dea.mims.08152023	Long-term observations of daily bottom currents along the SAMBA transect at PIES Mooring P1 (October 2019 – October 2021)	Department of Forestry, Fisheries and the Environment	2023
10.6084/m9.figshare.19613914.v4	MCR-1-dependent lipid remodelling compromises the viability of Gram-negative bacteria	Taylor & Francis	2023
10.25934/pr00009407	Validation of new exercse models and therapy optimization	Vivli	2023
10.5061/dryad.pnvx0k6sk	Data from: Glucocorticoids negatively relate to body mass on the short-term in a free-ranging ungulate	Dryad	2023
10.5285/7f5b221e-d251-4bac-9252-16b4553dc345	Physico-chemical water properties and greenhouse gas measurements across a tidal cycle, Clyde estuary, Scotland, 2020-2022	NERC EDS Environmental Information Data Centre	2023
10.5285/f6b9b2b3-1ad0-4ac1-a19b-bb340427fbf1	Freshwater macroinvertebrate family abundances in spring and autumn, England, 2002-2019	NERC EDS Environmental Information Data Centre	2023
10.5285/419af5cd-8adc-4400-9a28-d8e1d48b0bd7	Soil water release curves and hydraulic conductivity measurements at four long-term grassland-to-woodland land use contrasts across England	NERC EDS Environmental Information Data Centre	2023
10.5285/d370cda8-7d3d-4b62-8d09-23711aa18ac2	Climate change exposure estimates for the UK at 1 km resolution, 1901-2080	NERC EDS Environmental Information Data Centre	2023
10.5285/d417b1b9-eaba-4b9d-ba2c-dfb53973b113	Aquatic carbon isotope composition in natural and restoration pools in blanket peatlands in Scotland and Northern Ireland, 2014-2015	NERC EDS Environmental Information Data Centre	2023
10.5285/ab13a06f-392f-4bc6-b1bf-06dd8b020307	Peat depths from the Pastaza-Marañón Basin, Amazonian Peru, 2019-2020	NERC EDS Environmental Information Data Centre	2023
10.5285/b06a08bc-39e5-4401-87dd-9568fd5048fd	Radiocarbon dating of charcoal pieces from soil in intact forest permanent plots in the Amazon Basin, 2015-2019	NERC EDS Environmental Information Data Centre	2023
10.5285/2dcc08e9-d8e6-4675-b78d-a318efc799d8	Temperature and humidity data supporting use of an in situ passive heating method, and associated whole tree responses, Cerrado, Brazil, 2020	NERC EDS Environmental Information Data Centre	2023
10.5285/75f2072e-f708-46d8-baff-0c6d02d81ede	Mortality data for a population of banded mongooses (Mungos mungo) in Mweya, Uganda, 2000-2011	NERC EDS Environmental Information Data Centre	2023
10.5285/9156d263-4def-406d-bdc9-22a6821fe755	Plant aboveground net primary productivity estimates (2021) and litter layer depth measurements (2018-2019) at five long-term grassland-to-woodland land use contrasts across England	NERC EDS Environmental Information Data Centre	2023
10.5285/5d0f211e-d391-4861-8f12-e04a65108ae7	Hydraulic properties of peat extracted from Rensjön palsa mire, Sweden, July 2022	NERC EDS Environmental Information Data Centre	2023
10.5285/65b23264-2991-4ce2-83e7-7729a3947d75	Biodiversity and environmental conditions along public walking routes in three UK towns (Bedford, Luton and Milton Keynes), 2014	NERC EDS Environmental Information Data Centre	2023
10.5285/c3527258-c9ab-40d9-af0c-ddedabbd67a1	Greenhouse gas and water chemistry measurements for the Clyde river, tributaries and estuary, 2021-2022	NERC EDS Environmental Information Data Centre	2023
10.5285/3d3b1d09-9e7a-4144-b8a1-b09a3c573466	 Plot-level forest structure, carbon density and tree species richness data from restoration sites in South and Southeast Asia	NERC EDS Environmental Information Data Centre	2023
10.5285/2636c7e1-ec8c-4b77-9f4e-f731781191ca	Earthworm species identification and counts at three long-term grassland-to-woodland land use contrasts across England	NERC EDS Environmental Information Data Centre	2023
10.5285/a22b495e-b2cd-43cd-95b7-8712b64dc0da	Physico-chemical water properties and greenhouse gas measurements along a longitudinal estuary transect, Clyde estuary, Scotland, 2020-2022	NERC EDS Environmental Information Data Centre	2023
10.5285/8a2451f8-7999-47c4-9e2a-8e9567377ffb	Soil physical, chemical, and biological properties (0-1 m) at five long-term grassland-to-woodland land use contrasts across England, 2018-2019	NERC EDS Environmental Information Data Centre	2023
10.25326/603	Trace gases, Zoétélé, Cameroon	Aeris	2023
10.25326/642	Trace gases, Mbita, Kenya	Aeris	2023
10.25326/275	Trace gases, Lamto, Côte d'Ivoire	Aeris	2023
10.25326/604	Trace gases, Katigoubou, Mali	Aeris	2023
10.25326/605	Trace gases, Djougou, Benin	Aeris	2023
10.25326/606	Trace gases, Dahra, Senegal	Aeris	2023
10.25326/607	Trace gases, Bomassa, Congo	Aeris	2023
10.25326/608	Trace gases, Banizoumbou, Niger	Aeris	2023
10.25326/609	Trace gases, Bambey, Senegal	Aeris	2023
10.25326/610	Trace gases, Agoufou, Mali	Aeris	2023
10.25326/585	PM10 Mineral Analysis, Banizoumbou, Niger	Aeris	2023
10.25326/592	PM10 EC/OC Analysis, Zoétélé, Cameroon	Aeris	2023
10.25349/d97p6w	Reinvasion of restored California vernal pools reveals the importance of long‐term restoration planning	Dryad	2023
10.11582/2023.00113	Rock mechanics data for 31/5-7 Eos well core	NIRD RDA	2023
10.25907/00782	Data from: Incomplete sterol biosynthesis pathways and highly duplicated haem peroxidases revealed in Rhodophyte algae using multi-omics resource	University of the Sunshine Coast	2023
10.25907/00790	Working with Adult-Child Survivors of Severe Parental Alienation Abuse: Survivors and Mental Health Practitioners' Perspectives: A Qualitative Study [Data Notes]	University of the Sunshine Coast	2023
10.5281/zenodo.7642885	"Unit cells and resummed interactions for the calculations in ""Systematic Analysis of Crystalline Phases in Bosonic Lattice Models with Algebraically Decaying Density-Density Interactions"""	Zenodo	2023
10.5281/zenodo.7642884	"Unit cells and resummed interactions for the calculations in ""Systematic Analysis of Crystalline Phases in Bosonic Lattice Models with Algebraically Decaying Density-Density Interactions"""	Zenodo	2023
10.34810/data596	Plasma metabolomics of the human aging	CORA.Repositori de Dades de Recerca	2023
10.34810/data897	"Replication package for ""Visual vs text communication to dispel a rent-control misconception"""	CORA.Repositori de Dades de Recerca	2023
10.34810/data706	Replication Data for Fig. 4-5 of: Assessment of trunk flexion in arm reaching tasks with electromyography and smartphone accelerometry in healthy human subjects	CORA.Repositori de Dades de Recerca	2023
10.5281/zenodo.10439228	Survey on policies for innovation in the Global South, 2022.	Zenodo	2023
10.1594/pangaea.963469	Global marine radiocarbon data compilation for the last deglaciation, spline dataset	PANGAEA	2023
10.1594/pangaea.962526	Global marine radiocarbon data compilation for the last deglaciation, global average estimates derived from spatial interpolations	PANGAEA	2023
10.1594/pangaea.962525	Global marine radiocarbon data compilation for the last deglaciation, zonal averages for each major ocean basin and each deglacial time-slice	PANGAEA	2023
10.1594/pangaea.962221	Dissolved methane concentration variability along freshwater-sea continuum at Cuxhaven, northern Germany, 2021	PANGAEA	2023
10.1594/pangaea.962224	Dissolved methane concentration variability along freshwater-sea continuum at Heligoland, Southern North Sea, 2021	PANGAEA	2023
10.1594/pangaea.962223	Dissolved methane concentration variability along freshwater-sea continuum at Geesthacht, northern Germany, 2021	PANGAEA	2023
10.1594/pangaea.960693	Global marine radiocarbon data compilation for the last deglaciation	PANGAEA	2023
10.1594/pangaea.954969	Dissolved inorganic carbon and total alkalinity of seawater samples during RV POLARSTERN expedition PS122 – MOSAiC	PANGAEA	2023
10.6084/m9.figshare.21135946.v3	Fuirst et al. RSPB Dataset 3	figshare	2023
10.24416/uu01-ym7a5h	HYPFLOWSCI6: HYdrological Projection of Future gLObal Water States with CMIP6	Utrecht University	2023
10.24416/uu01-41qfc6	Data from: Restoring organic matter, carbon and nutrient accumulation in degraded peatlands: 10 years Sphagnum paludiculture	Utrecht University	2023
10.24416/uu01-8k9d7f	History Database of the Global Environment 3.1	Utrecht University	2023
10.24416/uu01-cv85gb	History Database of the Global Environment 2.0	Utrecht University	2023
10.7910/dvn/jw7xgl	"Replication Material for ""Economic Hardship Increases Justification of Political Violence"""	Harvard Dataverse	2023
10.25326/581	PM10 Mineral Analysis, Lamto, Côte d'Ivoire	Aeris	2023
10.25326/582	PM2.5 Mineral Analysis, Zoétélé, Cameroon	Aeris	2023
10.25326/580	PM2.5 Mineral Analysis, Lamto, Côte d'Ivoire	Aeris	2023
10.25326/584	PM2.5 Mineral Analysis, Banizoumbou, Niger	Aeris	2023
10.5061/dryad.z8w9ghxk5	Molecular dynamics simulation data of ELIC in nanodiscs	Dryad	2023
10.14291/tccon.ggg2020.hefei01.r1	TCCON data from Hefei (PRC), Release GGG2020.R1	CaltechDATA	2023
10.14291/tccon.ggg2020.harwell01.r0	TCCON data from Harwell, Oxfordshire (UK), Release GGG2020.R0	CaltechDATA	2023
10.14291/tccon.ggg2020.wollongong01.r0	TCCON data from Wollongong (AU), Release GGG2020.R0	CaltechDATA	2023
10.14291/tccon.ggg2020.darwin01.r0	TCCON data from Darwin (AU), Release GGG2020.R0	CaltechDATA	2023
10.20383/103.0828	Data for root fragment amendments increase nematode density and mycobiome stochasticity in Douglas-fir seedlings	Federated Research Data Repository / dépôt fédéré de données de recherche	2023
10.16904/envidat.383	Ramerenwald Close Range Remote Sensing Benchmark	EnviDat	2023
10.16904/envidat.401	Climatological snow data since 1998, OSHD	EnviDat	2023
10.16904/envidat.403	Individual tree TLS point clouds for tree volume estimation	EnviDat	2023
10.57903/uj/nsrsle	A set of measurement data from the ELA11 magnetometer from January 15, 2022, Hylaty Station, Poland	Jagiellonian University in Kraków	2023
10.57903/uj/ds9gt4	Party-Related Primacy Effects in Proportional Representation Systems: Evidence from a Natural Experiment in Polish Local Elections - replication data	Jagiellonian University in Kraków	2023
10.57903/uj/35sxvz	ODH of propane_ Vanadium-Supported Catalysts	Jagiellonian University in Kraków	2023
10.57903/uj/gj3qyf	PD-L1 Inhibitors: Different Classes, Activities, and Mechanisms of Action - raw data	Jagiellonian University in Kraków	2023
10.7910/dvn/djgkdj	GridEX: A Dataset for Assessing the Area-wide Extreme Heat and Cold (EHE/ECE) Exposure in the United States: 2008-2022	Harvard Dataverse	2023
10.26093/cds/vizier.36760049	J1030+0524 field spectral catalog	Centre de Donnees Strasbourg (CDS)	2023
10.23637/rms-rothseasontotrainmeantemp1968-2022	Dataset: Mean Seasonal Air Temperature and Total Seasonal Rain at Rothamsted 1968-2022	Electronic Rothamsted Archive, Rothamsted Research	2023
10.23637/rrn2-flacrop4923-01	Dataset: Fosters Ley-arable Experiment cropping sequence 1949-2023	Electronic Rothamsted Archive, Rothamsted Research	2023
10.23637/rrn1-hlacrop4923-01	Dataset: Highfield Ley-arable Experiment cropping sequence 1949-2023	Electronic Rothamsted Archive, Rothamsted Research	2023
10.23637/rrn1-hlasoc4814-01	Dataset: Highfield Ley-arable experiment soil chemical properties 1948-2014	Electronic Rothamsted Archive, Rothamsted Research	2023
10.23637/rrn2-flasoc5014-01	Dataset: Fosters Ley-arable experiment soil chemical properties 1948-2014	Electronic Rothamsted Archive, Rothamsted Research	2023
10.23637/rbk1-yld6822-01	Dataset: Broadbalk Wheat annual grain and straw yields 1968-2022	Electronic Rothamsted Archive, Rothamsted Research	2023
10.23637/rbk1-yld2667-01	Dataset: Broadbalk Wheat annual grain and straw yields 1926-1967	Electronic Rothamsted Archive, Rothamsted Research	2023
10.23637/rbk1-meanyld5267	Dataset: Broadbalk Wheat 10-year mean yields 1852-1967	Electronic Rothamsted Archive, Rothamsted Research	2023
10.23637/rcs10-soil-01	Dataset: Rothamsted long-term liming experiment soil chemical properties 1962-1996	Electronic Rothamsted Archive, Rothamsted Research	2023
10.23637/rcs10-rltlcation-01	Dataset: Rothamsted long-term liming experiment exchangeable cations re-analysed	Electronic Rothamsted Archive, Rothamsted Research	2023
10.23637/wsc10-wltlcation-01	Dataset: Woburn long-term liming experiment exchangeable cations re-analysed	Electronic Rothamsted Archive, Rothamsted Research	2023
10.6075/j0sj1kt8	Southern Ocean Carbon and Climate Observations and Modeling (SOCCOM) and Global Ocean Biogeochemistry (GO-BGC) Biogeochemical-Argo Float Data Archive	UC San Diego Library Digital Collections	2023
10.15468/dl.yzjcv7	Occurrence Download	The Global Biodiversity Information Facility	2023
10.15468/dl.nmpxbj	Occurrence Download	The Global Biodiversity Information Facility	2023
10.15468/6gx3pq	Reports of New Zealand Flatworms in Scotland, 1989 - 2005	NatureScot	2023
10.15468/pt03xa	National Earthworm Recording Scheme Records (Channel Islands)	Earthworm Society of Britain	2023
10.15468/w4cjwm	USGS PWRC - Bird Phenology Program	United States Geological Survey	2023
10.16904/envidat.388	Nutrient addition experiment at the Alpine treeline site Stillberg, Switzerland	EnviDat	2023
10.26093/cds/vizier.19250114	Gravity modes in HH Puppis Blazhko star with PAIX	Centre de Donnees Strasbourg (CDS)	2023
10.25505/fiz.icsd.cc2jvnkm	CSD 2349321: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25326/595	PM10 EC/OC Analysis, Banizoumbou, Niger	Aeris	2023
10.25326/591	PM Aerosol Mineral Analysis, Katibougou, Mali	Aeris	2023
10.25326/597	PM10 EC/OC Analysis, Bambey, Senegal	Aeris	2023
10.25326/587	PM10 Aerosol EC/OC, Mineral and Trace Metals Analysis, Djougou, Benin	Aeris	2023
10.15468/7rlf4q	New Zealand Flatworm (Arthurdendyus triangulatus) records for Scotland 2008-2014	NatureScot	2023
10.15468/yktev6	Waterbug Census	Healthy Waterways Waterwatch Program	2023
10.15468/qnwnfo	Données Vigie-Chiro protocole Point Fixe	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	2023
10.15468/q5bvc3	CardObs : Observations naturalistes issues de l'outil CardObs-Jeu de données du projet Flore et Insectes du Littoral de l'Archipel des Saintes	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	2023
10.15468/4d6k7m	Stoats in Orkney: records &amp; sightings reported to SNH, 2010 - 2015	NatureScot	2023
10.15468/kwivrh	Stoats in Orkney Facebook page records &amp; sightings, 2014 - 2015	NatureScot	2023
10.15468/pjowth	DASSH Data Archive Centre volunteer survey data	Marine Biological Association	2023
10.15468/gyvrzv	Great British Bee Count 2016 - Stage 2 (records verified from photo)	Friends of the Earth	2023
10.15468/c2c6st	Great British Bee Count 2015 - Stage 2 (records verified from photo)	Friends of the Earth	2023
10.15468/vss5gb	National Earthworm Recording Scheme Records (UK)	Earthworm Society of Britain	2023
10.15468/ldch7a	Programme BioObs: observations naturalistes en milieux aquatiques-Observations de BioObs.	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	2023
10.15468/xwiw3h	DASSH Data Archive Centre volunteer sightings records	Marine Biological Association	2023
10.57760/sciencedb.j00186.00151	Data of Charge resolution in the isochronous mass spectrometry and the mass of 51Co	Science Data Bank	2023
10.6084/m9.figshare.23167853.v1	Additional file 1 of Dual titration of minute ventilation and sweep gas flow to control carbon dioxide variations in patients on venovenous extracorporeal membrane oxygenation	figshare	2023
10.17190/amf/2204058	AmeriFlux US-UTN UFLUX Nephi	Utah Geological Survey	2023
10.17190/amf/2001311	AmeriFlux US-UTB UFLUX Bonneville Salt Flats	Utah Geological Survey	2023
10.17190/amf/1987605	AmeriFlux US-UiD University of Illinois Restored Native Prairie	USDA/ARS	2023
10.17190/amf/1987604	AmeriFlux US-Sag Sag River	National Agriculture and Food Research Organization	2023
10.17190/amf/2001310	AmeriFlux US-RGF Stanislaus County Forage Farm	Arva Intelligence Corp.	2023
10.17190/amf/2229156	AmeriFlux US-LA3 Barataria Bay Saline Marsh	US Geological Survey	2023
10.17190/amf/2001309	AmeriFlux US-INp INFLUX - Agricultural Site West of Indianapolis (Site-14b) 	The Pennsylvania State University	2023
10.17190/amf/2001307	AmeriFlux US-INj INFLUX - Agricultural Site East of Indianapolis (Site-9b)	The Pennsylvania State University	2023
10.17190/amf/2001308	AmeriFlux US-INn INFLUX - Agricultural Site West of Indianapolis (Site-14a)	The Pennsylvania State University	2023
10.17190/amf/2001306	AmeriFlux US-INi INFLUX - Agricultural Site East of Indianapolis (Site-9a)	The Pennsylvania State University	2023
10.17190/amf/2001305	AmeriFlux US-INg INFLUX - Wayne Twp Comm (Site-7)	The Pennsylvania State University	2023
10.17190/amf/2001303	AmeriFlux US-INe INFLUX - Agricultural Site West near Pittsboro	The Pennsylvania State University	2023
10.17190/amf/2001302	AmeriFlux US-INd INFLUX - Agricultural Site East near Pittsboro	The Pennsylvania State University	2023
10.17190/amf/2001301	AmeriFlux US-INb INFLUX - Golf Course	The Pennsylvania State University	2023
10.17190/amf/1987603	AmeriFlux US-INc INFLUX - Downtown Indianapolis (Site-3)	The Pennsylvania State University	2023
10.17190/amf/2001300	AmeriFlux US-INa INFLUX - Cemetery Turfgrass Tower	The Pennsylvania State University	2023
10.17190/amf/1964087	AmeriFlux US-HVs Happy Valley Wet Sedge Tundra	National Agriculture and Food Research Organization	2023
10.17190/amf/2001299	AmeriFlux US-HB4 Minim Creek Brackish Impoundment	Clemson University	2023
10.17190/amf/2204057	AmeriFlux US-GL1 Stannard Rock	Environment and Climate Change Canada	2023
10.17190/amf/2229155	AmeriFlux US-EvM Everglades Saltwater intrusion marsh	Florida International University	2023
10.17190/amf/2204056	AmeriFlux US-EA5 Uvalde Ranch Mesquite Woodland	The University of Texas at Austin, Bureau of Economic Geology (UT-BEG)	2023
10.17190/amf/1964086	AmeriFlux US-Dmg Dutch Slough Marsh Gilbert Tract	University of California, Berkeley	2023
10.17190/amf/2001298	AmeriFlux US-CS8 Central Sands Irrigated Agricultural Field	University of Wisconsin-Madison	2023
10.17190/amf/2001297	AmeriFlux US-CS6 Central Sands Irrigated Agricultural Field	University of Wisconsin-Madison	2023
10.17190/amf/2204055	AmeriFlux US-CRK Davy Crockett National Forest	Texas A&M University	2023
10.17190/amf/1987602	AmeriFlux US-Cms Central Marsh	National Agriculture and Food Research Organization	2023
10.17190/amf/1987600	AmeriFlux US-CGG Concord Grazed Grassland	California State University, East Bay	2023
10.17190/amf/2229154	AmeriFlux US-BWb INFLUX - Montgomery County pasture site	The Pennsylvania State University	2023
10.17190/amf/2229153	AmeriFlux US-BWa INFLUX - NIST Turfgrass Site	The Pennsylvania State University	2023
10.17190/amf/1964085	AmeriFlux CA-DSM Delta Salt Marsh	The University of British Columbia	2023
10.17190/amf/1987599	AmeriFlux CA-BOU Bouleau Peatland	Université du Québec a Montréal	2023
10.18112/openneuro.ds004215.v1.0.2	The NIMH Healthy Research Volunteer Dataset	Openneuro	2023
10.34808/jp25-2b47	Underwater noise recorded in Hornsund Fjord, Spitsbergen, at the front of the Hans Glacier	Gdańsk University of Technology	2023
10.34808/f6rb-ep27	Tribological test for evaluation of CF30 Black PEEK	Gdańsk University of Technology	2023
10.34808/b2ee-m576	Tribological test for evaluation of Natural PEEK	Gdańsk University of Technology	2023
10.5281/zenodo.10083033	Carole Niffenegger, Sebastian Dirren,  Christian Schano, Fränzi Korner-Nievergelt (2023) Data from : Natural nest cavities in a high elevation habitat provide a more constant thermal environment than human-made nest cavities	Zenodo	2023
10.25505/fiz.icsd.cc2fk9nz	CSD 2250961: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2pjj81	CSD 2488533: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2ntrkt	CSD 2467617: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2ngsmk	CSD 2457079: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2ngslj	CSD 2457078: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2ngshf	CSD 2457075: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2ngsgd	CSD 2457074: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2n0180	CSD 2442901: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2mrmz0	CSD 2435793: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2mrmyz	CSD 2435792: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2mrmxy	CSD 2435791: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2m6ngz	CSD 2421382: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2m6nfy	CSD 2421381: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2jds4w	CSD 2335978: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2jds5x	CSD 2335979: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2fd578	CSD 2246019: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2l9kcv	CSD 2392467: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2kzsw7	CSD 2383090: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2kv2h0	CSD 2378552: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2kv2fy	CSD 2378550: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2kv2gz	CSD 2378551: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2kv2dx	CSD 2378549: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2kv2bv	CSD 2378547: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
10.25505/fiz.icsd.cc2kv2cw	CSD 2378548: Experimental Crystal Structure Determination	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	2023
